start date ;end date   ;country              ;city               ;url                                          ;location link ;title
2025-05-16 ;2025-05-18 ;Germany              ;Stuttgart          ;https://arte-kunstmesse.de/stuttgart/        ;loclink       ;ARTe Stuttgart
2025-05-22 ;2025-05-25 ;Austria              ;Wien               ;https://affordableartfair.com/fairs/vienna   ;loclink       ;The Affordable Art Fair Vienna
2025-05-23 ;2025-05-25 ;Switzerland          ;Zurich             ;https://art-zurich.com                       ;loclink       ;ART INTERNATIONAL ZURICH
2025-05-23 ;2025-05-25 ;Germany              ;Dortmund           ;https://www.art3f.com                        ;loclink       ;art3f Dortmund
2025-06-13 ;2025-06-15 ;Germany              ;Berlin             ;https://affordableartfair.com/fairs/berlin   ;loclink       ;The Affordable Art Fair Berlin
2025-06-16 ;2025-06-22 ;Switzerland          ;Basel              ;https://www.liste.ch                         ;loclink       ;LISTE
2025-06-17 ;2025-06-22 ;Switzerland          ;Basel              ;https://www.photo-basel.com                  ;loclink       ;photo basel
2025-06-19 ;2025-06-22 ;Switzerland          ;Basel              ;https://www.artbasel.com/basel               ;loclink       ;Art Basel
2025-07-18 ;2025-07-20 ;Germany              ;Konstanz           ;https://arte-kunstmesse.de/konstanz/         ;loclink       ;ARTe Konstanz
2025-08-09 ;2025-08-17 ;Belgium              ;Knokke             ;https://www.knaf.be/                         ;loclink       ;KNOKKE ART FAIR
2025-08-28 ;2025-08-31 ;Denmark              ;Copenhagen         ;https://enterartfair.com                     ;loclink       ;Enter Art Fair
2025-09-12 ;2025-09-14 ;Monaco               ;Monaco             ;https://www.art3f.com                        ;loclink       ;art3f Monaco
2025-10-10 ;2025-10-12 ;France               ;La Roche-sur-Foron ;https://www.art3f.com                        ;loclink       ;art3f Haute-Savoi
